r v real_class
2.089 1.955 ITL
0.871 0.175 CL
2.102 1.076 ITL
1.209 0.379 IN
1.166 1.179 IN
2.534 0.198 ITL
2.069 2.676 ITL
1.643 0.347 BS
0.543 0.779 CL
0.756 1.172 BS
1.246 0.757 IN
0.121 1.897 RIN
1.633 0.308 BS
2.576 2.001 ITL
2.807 0.156 IN
3 1.812 ITL
1.053 1.156 IN
0.748 0.123 BS
1.114 1.696 IN
0.656 1.306 RIN
0.938 0.531 CL
2.882 2.543 ITL
0.103 1.296 RIN
1.275 0.356 BS
0.871 0.424 BS
1.331 0.247 BS
0.35 1.89 RIN
1.078 0.473 ITL
0.921 0.407 BS
0.901 0.57 CL
2.64 0.171 IN
2.355 1.067 ITL
0.027 0.59 IN
0.338 1.522 RIN
2.403 0.386 IN
2.588 2.587 ITL
1.83 1.01 ITL
1.49 0.592 IN
1.455 0.627 IN
1.794 0.84 ITL
1.056 0.55 BS
1.04 0.105 BS
0.741 1.625 ITL
0.2 1.173 CL
0.474 1.321 RIN
0.628 1.081 BS
0.608 1.123 CL
2.284 0.381 IN
2.061 0.567 ITL
0.739 0.767 CL
1.818 1.054 ITL
1.239 2.198 ITL
2.362 0.516 ITL
0.95 0.058 RIN
0.813 0.209 BS
0.247 0.065 BS
0.585 0.31 RIN
2.173 0.075 ITL
2.788 1.702 ITL
1.189 0.405 BS
0.927 0.968 RIN
1.664 0.35 IN
2.098 1.513 ITL
0.893 0.301 IN
0.566 1.328 IN
2.425 0.924 ITL
2.4 0.098 IN
1.068 0.111 BS
1.086 0.839 IN
2.086 0.7 BS
1.171 0.304 BS
0.524 1.243 CL
0.502 0.791 IN
2.998 0.053 ITL
2.74 0.028 IN
0.248 1.423 CL
2.749 1.281 ITL
1.189 0.823 BS
0.415 0.792 RIN
0.599 0.688 CL
2.423 1.002 ITL
1.753 0.769 BS
0.92 1.981 IN
0.122 2.499 CL
2.502 0.249 IN
0.484 0.59 CL
2.139 2.99 ITL
1.222 0.404 BS
0.449 1.665 RIN
2.764 0.723 ITL
2.238 0.29 IN
1.455 0.879 BS
0.577 0.159 CL
1.035 0.723 ITL
2.623 1.611 ITL
0.262 1.124 BS
1.592 0.044 IN
0.304 1.32 RIN
0.742 0.743 CL
2.438 0.223 IN
0.068 1.587 RIN
2.322 0.404 IN
1 2.294 ITL
0.419 1.166 RIN
1.26 1.518 IN
0.253 2.423 RIN
0.577 0.421 ITL
1.961 2.163 ITL
2.788 0.084 IN
0.561 0.701 IN
2.266 0.15 IN
2.635 0.498 ITL
2.694 0.198 ITL
0.976 0.017 BS
0.705 0.505 CL
0.417 1.174 RIN
0.205 1.08 RIN
1.123 0.663 BS
0.553 0.702 BS
0.904 1.291 ITL
0.327 1.8 CL
2.511 1.445 ITL
1.218 0.74 ITL
1.923 0.012 BS
2.067 2.565 ITL
2.929 0.596 ITL
2.715 0.424 IN
0.422 1.269 CL
2.621 0.041 ITL
2.374 0.176 IN
0.941 1.017 RIN
0.666 0.651 ITL
1.789 0.08 BS
0.775 2.632 ITL
1.631 0.466 IN
0.118 1.682 CL
1.022 0.058 BS
1.937 0.495 IN
2.49 2.301 ITL
0.94 0.209 BS
1.642 0.213 IN
2.293 0.259 ITL
1.378 0.021 IN
